Time,Power
0.00,550
0.50,550
1.00,550
1.50,550
2.00,550
2.50,550
3.00,550
3.50,550
4.00,550
4.50,550
5.00,550
5.50,550
6.00,550
6.50,550
7.00,550
7.50,550
8.00,550
8.50,550
9.00,550
9.50,550
10.00,550
10.50,550
11.00,550
11.50,550
12.00,550
12.50,550
13.00,550
13.50,550
14.00,550
14.50,550
15.00,550
15.50,540
16.00,530
16.50,520
17.00,510
17.50,500
18.00,490
18.50,480
19.00,480
19.50,480
20.00,480
20.50,490
21.00,500
21.50,500
22.00,500
22.50,490
23.00,480
23.50,470
24.00,460
24.50,450
25.00,450
25.50,450
26.00,460
26.50,470
27.00,480
27.50,480
28.00,470
28.50,460
29.00,450
29.50,440
30.00,430
30.50,430
31.00,430
31.50,440
32.00,450
32.50,460
33.00,470
33.50,480
34.00,490
34.50,500
35.00,500
35.50,490
36.00,480
36.50,470
37.00,460
37.50,450
38.00,440
38.50,430
39.00,430
39.50,440
40.00,450
40.50,460
41.00,470
41.50,480
42.00,490
42.50,500
43.00,510
43.50,520
44.00,530
44.50,540
45.00,550
45.50,550
46.00,550
46.50,540
47.00,530
47.50,520
48.00,510
48.50,500
49.00,490
49.50,480
50.00,470
50.50,460
51.00,450
51.50,440
52.00,430
52.50,430
53.00,440
53.50,450
54.00,460
54.50,470
55.00,480
55.50,490
56.00,500
56.50,510
57.00,520
57.50,530
58.00,540
58.50,550
59.00,550
59.50,550
60.00,550 
